usuario_id,version,pagina,concejo,producto_visto,tiempo_sesion_seg,convirtio
2216,A,vintage_rosa,Oviedo,Acondicionador de ortiga,158,0
2583,A,vintage_rosa,Avilés,Sérum de rosa mosqueta,286,0
1663,A,vintage_rosa,Cangas del Narcea,Bálsamo labial de cera de abeja,375,0
3028,A,vintage_rosa,Siero,Acondicionador de ortiga,144,0
4344,B,moderna,Langreo,Champú sólido de romero,203,0
2681,A,vintage_rosa,Oviedo,Champú sólido de romero,85,0
1766,A,vintage_rosa,Oviedo,Champú sólido de romero,306,0
1124,A,vintage_rosa,Castrillón,Aceite de argán artesanal,282,0
4055,B,moderna,Gijón,Jabón de avena y caléndula,224,0
3762,A,vintage_rosa,Mieres,Sérum de rosa mosqueta,241,0
1536,A,vintage_rosa,Gijón,Sérum de rosa mosqueta,39,0
2945,A,vintage_rosa,Mieres,Crema de lavanda y miel,286,0
2988,A,vintage_rosa,Avilés,Crema de lavanda y miel,211,0
4292,B,moderna,Gijón,Acondicionador de ortiga,31,0
4343,B,moderna,San Martín del Rey Aurelio,Sérum de rosa mosqueta,285,0
4425,B,moderna,Mieres,Jabón de avena y caléndula,124,0
7942,B,moderna,Oviedo,Bálsamo labial de cera de abeja,111,1
4998,B,moderna,Gijón,Champú sólido de romero,269,0
2749,A,vintage_rosa,Castrillón,Bálsamo labial de cera de abeja,331,0
2303,A,vintage_rosa,Avilés,Champú sólido de romero,315,0
3933,A,vintage_rosa,Siero,Acondicionador de ortiga,44,0
5957,B,moderna,Lena,Champú sólido de romero,245,0
6132,B,moderna,Avilés,Aceite de argán artesanal,67,0
7597,B,moderna,Langreo,Bálsamo labial de cera de abeja,194,0
795,A,vintage_rosa,Gijón,Aceite de argán artesanal,153,0
3164,A,vintage_rosa,Avilés,Champú sólido de romero,280,0
7941,B,moderna,Oviedo,Sérum de rosa mosqueta,348,0
3182,A,vintage_rosa,Oviedo,Mascarilla de arcilla verde,116,0
764,A,vintage_rosa,Mieres,Bálsamo labial de cera de abeja,64,0
3079,A,vintage_rosa,Gijón,Aceite de argán artesanal,333,0
812,A,vintage_rosa,Gozón,Sérum de rosa mosqueta,304,0
7260,B,moderna,Oviedo,Acondicionador de ortiga,322,1
